Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Maxvalue Credits And Investments Limited,Unlisted,Financial Service,5.10,158.891,https://wwipl.com/,,,,,
Bliss Enterprises,Unlisted,Miscellaneous,18.00,154.625,https://wwipl.com/,,,,,
J K Investo Trade India Limited,Delisted,Investment & Holding,210.00,153.766,https://wwipl.com/,,,,,
Midland Rubber And Produce Co Ltd,Unlisted,"Tea, Coffee & Plantation","3,880.00",150.965,https://wwipl.com/,,,,,
The Indian Steel And Wire Products Limited,Delisted,"Metal, Steel & Iron",250.00,149.797,https://wwipl.com/,,,,,
Asiatic Oxygen Ltd,Unlisted,Chemical,900.00,148.687,https://wwipl.com/,,,,,
Panasonic AVC Networks India Company Limited,Unlisted,Other,29.00,145.000,https://wwipl.com/,,,,,
Mitsubishi Heavy Industries India Precision Tools Limited,Unlisted,Other,207.00,144.279,https://wwipl.com/,,,,,
The Delhi Flour Mills Company Limited,Unlisted,Food & Beverages,720.13,131.480,https://wwipl.com/,,,,,
Vajresh Consultants Limited,Unlisted,Other,110.00,126.072,https://wwipl.com/,,,,,
J K Cotton Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",35.10,125.396,https://wwipl.com/,,,,,
Asscher Enterprises Limited,Unlisted,Trading,111.00,125.293,https://wwipl.com/,,,,,
The Ramaraju Surgical Cotton Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",315.00,124.317,https://wwipl.com/,,,,,
Bhishma Realty Limited,Unlisted,Real Estate,"125,100.00",123.749,https://wwipl.com/,,,,,
The Hooghly Mills Company Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",150.00,119.070,https://wwipl.com/,,,,,
The Mysore Lamp Work Ltd,Unlisted,Other,100.00,118.102,https://wwipl.com/,,,,,
Proyuga Advanced Technologies Limited,Unlisted,Artificial Intelligence,25.00,113.388,https://wwipl.com/,,,,,
Mohindra Fasteners Limited,Unlisted,Other,190.00,111.958,https://wwipl.com/,,,,,
The Mysore Paper Mills Limited,Unlisted,Paper,9.00,107.004,https://wwipl.com/,,,,,
Electronica Plastic Machines Limited,Delisted,Equipment,"4,100.00",104.977,https://wwipl.com/,,,,,
Roop Ultrasonix Limited,Unlisted,Other,150.00,104.498,https://wwipl.com/,,,,,
English Indian Clays Limited,Unlisted,Other,20.50,103.066,https://wwipl.com/,,,,,
OEN India Limited,Delisted,Auto LCVS & HCVS,200.00,101.985,https://wwipl.com/,,,,,
Arkfin Investments Private Limited,Unlisted,NBFC,50.00,100.231,https://wwipl.com/,,,,,
Electronica Finance Limited,Delisted,NBFC,34.00,98.872,https://wwipl.com/,,,,,
Bombay Swadeshi Stores Limited,Unlisted,Other,200.00,98.800,https://wwipl.com/,,,,,
Mayasheel Retail India Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",32.00,94.400,https://wwipl.com/,,,,,
MSE Financial Services Limited,Unlisted,Financial Service,7.00,93.877,https://wwipl.com/,,,,,
Cable Corporation of India Ltd,Delisted,Cables,12.10,93.517,https://wwipl.com/,,,,,
Balasore Alloys Limited,Suspended,Metal,10.00,93.325,https://wwipl.com/,,,,,
Avlokiteshvar Valinv Limited,Unlisted,Financial Service,250.00,92.284,https://wwipl.com/,,,,,
Anglo French Drugs And Industries Limited,Illiquid/unquoted,Pharma,745.00,91.887,https://wwipl.com/,,,,,
Smile Micro Finance Limited,Unlisted,Financial Service,52.00,90.166,https://wwipl.com/,,,,,
Anugraha Valve Castings Limited,Unlisted,Hotel or Catering,255.00,89.926,https://wwipl.com/,,,,,
Mint Investments Limited,Illiquid/unquoted,Investment & Holding,162.00,89.748,https://wwipl.com/,,,,,
ICL Fincorp Limited,Unlisted,Financial Service,20.10,89.113,https://wwipl.com/,,,,,
Shivalik Agro Poly Products Ltd,Unlisted,Plastic,970.00,85.942,https://wwipl.com/,,,,,
KLM Axiva Finvest Limited,Pre IPO,Financial Service,16.20,85.499,https://wwipl.com/,,,,,
Partap Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",399.70,85.332,https://wwipl.com/,,,,,
Salaya Bulk Terminals Limited,Unlisted,Shipping,20.20,84.417,https://wwipl.com/,,,,,
Beetel Teletech Limited,Unlisted,Telecomm,165.00,84.012,https://wwipl.com/,,,,,
Apex Auto Limited,Unlisted,Auto Components,150.00,83.010,https://wwipl.com/,,,,,
SPML India Limited,Illiquid/unquoted,Financial Service,20.45,80.625,https://wwipl.com/,,,,,
Consolidated Construction Consortium Limited,Delisted,Construction,2.00,79.702,https://wwipl.com/,,,,,
Merind Limited,Delisted,Other,216.00,78.667,https://wwipl.com/,,,,,
Webfil Limited,Unlisted,Digital Equipment,92.00,78.499,https://wwipl.com/,,,,,
Naga Limited,Illiquid/unquoted,FMCG,55.00,78.364,https://wwipl.com/,,,,,
Dalmia Laminators Limited,Illiquid/unquoted,Other,191.00,78.024,https://wwipl.com/,,,,,
Sunayana Investment Company Limited,Illiquid/unquoted,Investment & Holding,34.00,75.623,https://wwipl.com/,,,,,
Genesis Finance Company Limited,Illiquid/unquoted,Financial Service,15.95,74.003,https://wwipl.com/,,,,,
Gammon India Limited,Suspended,Building Materials,2.00,73.769,https://wwipl.com/,,,,,
Kingfisher Airlines Limited,Delisted,Other,0.91,73.594,https://wwipl.com/,,,,,
Sree Satyanarayana Spinning Mills Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",700.00,73.507,https://wwipl.com/,,,,,
ELGI Ultra Industries Limited,Unlisted,Household Products,400.00,72.396,https://wwipl.com/,,,,,
KCL Limited,Illiquid/unquoted,Paper,233.00,69.902,https://wwipl.com/,,,,,
Guindy Machine Tools Limited,Unlisted,Equipment,191.00,69.367,https://wwipl.com/,,,,,
Premier Cryogenics Limited,Unlisted,"Energy, Oil & Gas",140.00,68.935,https://wwipl.com/,,,,,
Sasvitha Home Finance Limited,Unlisted,Financial Service,25.00,67.223,https://wwipl.com/,,,,,
Tarini Enterprises Limited,Illiquid/unquoted,Retail,198.60,66.988,https://wwipl.com/,,,,,
Anand I Power Limited,Delisted,Auto Ancillaries,20.00,66.673,https://wwipl.com/,,,,,
Market Simplified India Limited,Unlisted,"IT, Software",44.00,66.076,https://wwipl.com/,,,,,
Vam Holdings Limited,Unlisted,Investment & Holding,"1,800.00",65.646,https://wwipl.com/,,,,,
Placid Limited,Unlisted,NBFC,"1,207.00",64.827,https://wwipl.com/,,,,,
Absolute Sports Private Limited,Unlisted,Media,"3,303.00",62.316,https://wwipl.com/,,,,,
Manipal Housing Finance Syndicate Limited,Unlisted,Financial Service,72.50,61.662,https://wwipl.com/,,,,,
Sri Vishnu Shankar Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",405.00,60.750,https://wwipl.com/,,,,,
ACS Technologies Limited,Unlisted,"IT, Software",39.00,57.517,https://wwipl.com/,,,,,
Gobind Sugar Mills Limited,Unlisted,Other,125.00,55.913,https://wwipl.com/,,,,,
Mewar Polytex Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",171.00,55.233,https://wwipl.com/,,,,,
Assam Carbon Products Limited,Unlisted,Electricity,200.00,55.112,https://wwipl.com/,,,,,
BGSE Properties and Securities Limited,Unlisted,Financial Service,15.00,55.038,https://wwipl.com/,,,,,
Mysore Paints And Varnish Limited,Unlisted,Paint & Varnishes,520.00,53.901,https://wwipl.com/,,,,,
Farmax India Limited,Delisted,FMCG,1.00,53.417,https://wwipl.com/,,,,,
Auckland International Limited,Unlisted,Hotel or Catering,129.00,52.978,https://wwipl.com/,,,,,
Marvel Vinyls Limited,Delisted,Other,124.00,52.758,https://wwipl.com/,,,,,
U P Asbestos Limited,Illiquid/unquoted,Construction,57.00,51.911,https://wwipl.com/,,,,,
Sri Kannapiran Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",95.00,51.489,https://wwipl.com/,,,,,
