Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Kamarhatty Company Limited,Unlisted,Hotel or Catering,90,50.553,https://wwipl.com/,,,,,
Amtek Auto Limited,Suspended,Auto Components,2,49.651,https://wwipl.com/,,,,,
Sri Chamundeswari Sugars Limited,Delisted,Sugar,20,48.909,https://wwipl.com/,,,,,
Pratibha Industries Limited,Suspended,Engineering,2,47.719,https://wwipl.com/,,,,,
Kusum Industrial Gases Limited,Unlisted,"Energy, Oil & Gas",400,47.501,https://wwipl.com/,,,,,
The Travancore Rubber and Tea Company,Unlisted,"Tea, Coffee & Plantation",1150,47.15,https://wwipl.com/,,,,,
BT Syndicate Limited,Illiquid/unquoted,Bank,5,46.724,https://wwipl.com/,,,,,
SVOGL Oil Gas and Energy Limited,Delisted,"Energy, Oil & Gas",10,46.361,https://wwipl.com/,,,,,
Oswal Minerals Limited,Illiquid/unquoted,Mining & Minerals,60,45.378,https://wwipl.com/,,,,,
BS Limited,Delisted,Electric Equipment,1,44.168,https://wwipl.com/,,,,,
SBI Home Finance Limited,Suspended,NBFC,29,43.65,https://wwipl.com/,,,,,
Sterling Biotech Limited,Suspended,Chemical,1,43.304,https://wwipl.com/,,,,,
APL Metals Limited,Illiquid/unquoted,Hotel or Catering,40,42.906,https://wwipl.com/,,,,,
Sri Chakra Cement Limited,Delisted,Cement,47,42.39,https://wwipl.com/,,,,,
Amol Minechem Limited,Unlisted,Electricity,515,42.185,https://wwipl.com/,,,,,
Trans Globe Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",180,40.709,https://wwipl.com/,,,,,
Hicks Thermometers India Limited,Unlisted,Healthcare,1450,39.948,https://wwipl.com/,,,,,
Badra Estates And Industries Limited,Unlisted,Other,1125,39.545,https://wwipl.com/,,,,,
Rydak Syndicate Limited,Unlisted,Agriculture & Agro Products,400,38.925,https://wwipl.com/,,,,,
Prudential Sugar Corporation Limited,Suspended,Food & Drinks,12,38.702,https://wwipl.com/,,,,,
North Eastern Publishing And Advertising Co Ltd,Illiquid/unquoted,Publication,9,37.671,https://wwipl.com/,,,,,
Amalgamations Repco Limited,Unlisted,Auto Components,392,37.157,https://wwipl.com/,,,,,
MIL Industries Limited,Unlisted,Other,117,36.855,https://wwipl.com/,,,,,
The Scottish Assam India Limited,Unlisted,"Tea, Coffee & Plantation",446,35.68,https://wwipl.com/,,,,,
Manikaran Power Limited,Unlisted,Power & Electricity,10,35.353,https://wwipl.com/,,,,,
Bihariji Ispat Udyog Limited,Illiquid/unquoted,Financial Service,58,34.8,https://wwipl.com/,,,,,
NCL Holdings Limited,Unlisted,Investment & Holding,60,34.71,https://wwipl.com/,,,,,
Hemadri Cements Limited,Illiquid/unquoted,Cement,52,34.684,https://wwipl.com/,,,,,
AdTech Systems Limited,Illiquid/unquoted,Financial Service,29,34.67,https://wwipl.com/,,,,,
Purbanchal Prestressed Limited,Illiquid/unquoted,Financial Service,9,34.573,https://wwipl.com/,,,,,
Marble Finvest Limited,Illiquid/unquoted,Financial Service,123,34.526,https://wwipl.com/,,,,,
ASEL Financial Services Limited,Unlisted,Financial Service,46,34.47,https://wwipl.com/,,,,,
DEYS Medical Stores Manufacturing Limited,Unlisted,Pharma,400,34.047,https://wwipl.com/,,,,,
The Calcutta Stock Exchange Limited,Unlisted,Financial Service,550,33.619,https://wwipl.com/,,,,,
Uniply Industries Limited,Suspended,Miscellaneous,2,33.529,https://wwipl.com/,,,,,
Operational Energy Group India Limited,Illiquid/unquoted,Power & Electricity,26,33.517,https://wwipl.com/,,,,,
DSE Estates Limited,Unlisted,Financial Service,11,33.438,https://wwipl.com/,,,,,
East India Pharmaceutical Works Limited,Unlisted,Pharma,49,32.708,https://wwipl.com/,,,,,
